# Top Scientists on Twitter - Curated List
# Format: Full Name | twitter_handle | Field
# Add one per line, pipe-separated

# ECONOMICS
Paul Krugman | NYTimesKrugman | Economics
Justin Wolfers | JustinWolfers | Economics
Tyler Cowen | tylercowen | Economics
Alex Tabarrok | ATabarrok | Economics
Robert Reich | RBReich | Economics
Nouriel Roubini | Nouriel | Economics
Thomas Piketty | PikettyLeMonde | Economics
Emily Oster | ProfEmilyOster | Economics
J. Bradford DeLong | delong | Economics
Jennifer Doleac | jenniferdoleac | Economics
Claudia Sahm | Claudia_Sahm | Economics
Betsey Stevenson | BetseyStevenson | Economics
Arindrajit Dube | arindube | Economics
Austan Goolsbee | Austan_Goolsbee | Economics
Jason Furman | jasonfurman | Economics
Christina Romer | ChristinaRomer | Economics
Greg Mankiw | GregMankiw | Economics
Esther Duflo | DufloEsther | Economics
Abhijit Banerjee | AbhijitBanerjee | Economics
Raj Chetty | RajChetty | Economics

# PHYSICS & ASTRONOMY
Neil deGrasse Tyson | neiltyson | Physics
Brian Cox | ProfBrianCox | Physics
Sean Carroll | seanmcarroll | Physics
Katie Mack | AstroKatie | Physics
Michio Kaku | michiokaku | Physics
Phil Plait | BadAstronomer | Physics
Mike Brown | plutokiller | Physics
Chanda Prescod-Weinstein | IBJIYONGI | Physics
Lawrence Krauss | LKrauss1 | Physics
Brian Greene | bgreene | Physics
Lisa Randall | lirarandall | Physics
Carlo Rovelli | carlorovelli | Physics
Sabine Hossenfelder | skdh | Physics
Lucie Green | DrLucieGreen | Physics
Tim O'Brien | ProfTimOBrien | Physics
Carolyn Porco | CarolynPorco | Physics
Jocelyn Bell Burnell | jocelyn913 | Physics
Vera Rubin | VeraRubinObs | Physics
Andrea Ghez | AndreaGhez | Physics
Kip Thorne | KipThorne | Physics

# BIOLOGY & LIFE SCIENCES
Richard Dawkins | RichardDawkins | Biology
Carl Zimmer | carlzimmer | Biology
Ed Yong | edyong209 | Biology
Jennifer Doudna | jendoudna | Biology
George Church | geochurch | Biology
Pamela Ronald | pcronald | Biology
Danielle Lee | DNLee5 | Biology
Sylvia Earle | MissionBlue | Biology
Jane Goodall | JaneGoodallInst | Biology
E.O. Wilson | EOWilsonFdn | Biology
Paul Nurse | ProfPaulNurse | Biology
Venki Ramakrishnan | Venki_Ramak | Biology
Frances Arnold | francesarnold | Biology
Carolyn Bertozzi | CarolynBertozzi | Biology
Martin Chalfie | MartinChalfie | Biology
Roger Tsien | RogerTsien | Biology
Elizabeth Blackburn | EBlackburnLab | Biology
Carol Greider | CarolGreider | Biology
Linda Buck | LindaBuckLab | Biology
Ben Barres | BenBarres | Biology

# MEDICINE & HEALTH
Atul Gawande | Atul_Gawande | Medicine
Eric Topol | EricTopol | Medicine
Anthony Fauci | NIAIDNews | Medicine
Peter Hotez | PeterHotez | Medicine
Leana Wen | DrLeanaWen | Medicine
